	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
23339	S23340	23340	1994-073A	PH H-S      	Atlantis (STS-66)	OV-104	1994-11-03	A05564	1994 Nov  3 1708	Earth	1994 Nov 14 1533	L	EAFB RW22	JSC	US	RWI	STS OV	-	   96898 	 	  87516 	 	  105359 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Nov  5	     294	 	     311	 	 56.99 	 	LLEO/I	-	-
23468	S23469	23469	1995-004A	PH H-S      	Discovery (STS-63)	OV-103	1995-02-03	A05604	1995 Feb  3 0530	Earth	1995 Feb 11 1150	L	KSC RW15	JSC	US	RWI	STS OV	-	   97970 	 	  87557 	 	  106899 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Feb  5	     332	 	     375	 	 51.65 	 	LLEO/I	-	-
23470	S23471	23471	1995-004C	P ---S-     	ODERACS 2A	ODERACS 6 inch sphere	1995-02-03	A05609	1995 Feb  4 0457	Earth	1996 Mar 13	R	-	JSC	US	JSC	ODERACS	-	       4 	 	      4 	 	       4 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1995 Mar  5	     325	 	     346	 	 51.66 	 	LLEO/I	-	-
23471	S23472	23472	1995-004D	P ---S-     	ODERACS 2B	ODERACS 4 inch sphere	1995-02-03	A05609	1995 Feb  4 0457	Earth	1995 Sep 29	R	-	JSC	US	JSC	ODERACS	-	       5 	 	      5 	 	       5 	 	   0.2 	 	  0.2 	 	    0.2 	 	Sphere	1995 Mar  6	     317	 	     340	 	 51.65 	 	LLEO/I	-	-
23472	S23473	23473	1995-004E	P ---S-     	ODERACS 2C	ODERACS 2 inch sphere	1995-02-03	A05609	1995 Feb  4 0457	Earth	1996 Feb  7	R	-	JSC	US	JSC	ODERACS	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1995 Feb  4	     320	?	     340	?	 51.65 	 	LLEO/I	-	-
23473	S23474	23474	1995-004F	P ---S-     	ODERACS 2D	ODERACS dipole?	1995-02-03	A05609	1995 Feb  4 0457	Earth	1995 Mar  2	R	-	JSC	US	JSC	ODERACS	-	       0 	 	      0 	 	       0 	 	   0.1 	 	  0.0 	 	    0.1 	 	Ant	1995 Feb 11	     316	 	     335	 	 51.64 	 	LLEO/I	-	-
23474	S23475	23475	1995-004G	P ---S-     	ODERACS 2E	ODERACS dipole?	1995-02-03	A05609	1995 Feb  4 0457	Earth	1995 Feb 27	R	-	JSC	US	JSC	ODERACS	-	       0 	 	      0 	 	       0 	 	   0.1 	 	  0.0 	 	    0.1 	 	Ant	1995 Feb 11	     320	 	     338	 	 51.64 	 	LLEO/I	-	-
23499	S23500	23500	1995-007A	PH H-S      	Endeavour (STS-67)	OV-105	1995-03-02	A05618	1995 Mar  2 0646	Earth	1995 Mar 18 2147	L	EAFB RW22	JSC	US	RWI	STS OV	-	   98382 	 	  88000 	 	  110590 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Mar  9	     343	 	     359	 	 28.47 	 	LLEO/I	-	-
23599	S23600	23600	1995-030A	PH H-S      	Atlantis (STS-71)	OV-104	1995-06-27	A05647	1995 Jun 27 1940	Earth	1995 Jun 29 1300	DK	S20635	JSC	US	RWI	STS OV	-	   96205 	 	  86342 	 	  108264 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Jun 29	     382	 	     399	 	 51.65 	 	LLEO/I	-	-
23611	S23612	23612	1995-035A	PH H-S      	Discovery (STS-70)	OV-103	1995-07-13	A05658	1995 Jul 13 1350	Earth	1995 Jul 22 1202	L	KSC RW33	JSC	US	RWI	STS OV	-	   91696 	 	  85289 	 	  112115 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Jul 15	     286	 	     315	 	 28.47 	 	LLEO/I	-	-
23612	S23613	23613	1995-035B	P ---S-     	TDRS 7	TDRS G	1995-07-13	S23615	1995 Jul 13 0240?	Earth	-	O	-	GSFC	US	TRW	TDRS	AOCS	    2225 	 	   1673 	?	    2225 	 	   1.3 	 	  2.4 	 	   17.4 	 	Box + Dish + 2 Pan	1995 Aug 12	   35784	 	   35791	 	  0.03 	 	GEO/S	-	-
23666	S23667	23667	1995-048A	PH H-S      	Endeavour (STS-69)	OV-105	1995-09-07	A05670	1995 Sep  7 1517	Earth	1995 Sep 18 1138	L	KSC RW33	JSC	US	RWI	STS OV	-	   98868 	 	  87967 	 	  110372 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Sep  9	     369	 	     377	 	 28.47 	 	LLEO/I	-	-
23667	S23668	23668	1995-048B	P ---S-     	Spartan 201	Spartan 201	1995-09-07	A05675	1995 Sep  8 1512	Earth	1995 Sep  8 1512	ATT	A05680	GSFC	US	GSFC	SPTN-200	-	    1290 	 	   1290 	 	    1290 	 	   2.3 	 	  1.0 	 	    2.3 	 	Box + Cyl	1995 Sep  9	     369	 	     382	 	 28.47 	 	LLEO/I	-	-
23687	S23688	23688	1995-056A	PH H-S      	Columbia (STS-73)	OV-102	1995-10-20	A05686	1995 Oct 20 1401	Earth	1995 Nov  5 1145	L	KSC RW33	JSC	US	RWI	STS OV	-	   97995 	 	  92211 	 	  111909 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Oct 27	     262	 	     273	 	 39.01 	 	LLEO/I	-	-
23713	S23714	23714	1995-061A	PH H-S      	Atlantis (STS-74)	OV-104	1995-11-12	A05699	1995 Nov 12 1239	Earth	1995 Nov 15 0627	DK	S20635	JSC	US	RWI	STS OV	-	   98414 	 	  87349 	 	  107565 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1995 Nov 14	     345	 	     394	 	 51.64 	 	LLEO/I	-	-
23756	S23757	23757	1995-074A	P           	Rossi X-ray Timing Explorer	XTE	1995-12-30	S23758	1995 Dec 30 1506	Earth	2018 Apr 30 1445?	R	-	GSFC	US	GSFC	XTE	-	    2955 	 	   2955 	 	    2955 	 	   5.8 	 	  1.8 	 	    5.8 	 	Box + 2 Pan	1996 Jan 29	     564	 	     583	 	 22.98 	 	LLEO/E	-	-
23761	S23762	23762	1996-001A	PH H-S      	Endeavour (STS-72)	OV-105	1996-01-11	A05721	1996 Jan 11 0949	Earth	1996 Jan 20 0741	L	KSC RW15	JSC	US	RWI	STS OV	-	  101773 	 	  87887 	 	  108181 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 Jan 13	     458	 	     465	 	 28.45 	 	LLEO/I	-	-
23762	S23763	23763	1996-001B	P ---S-     	OAST-Flyer	Spartan 206	1996-01-11	A05731	1996 Jan 14 1057	Earth	1996 Jan 14 1057	ATT	A05736	GSFC	US	GSFC	SPTN-200	-	    1198 	 	   1198 	 	    1198 	 	   1.5 	 	  1.0 	 	    1.5 	 	Box	1996 Jan 14	     303	 	     311	 	 28.45 	 	LLEO/I	-	-
23783	S23784	23784	1996-008A	P   D       	NEAR Shoemaker	NEAR	1996-02-17	S23786	1996 Feb 17 2112?	Earth	1996 Feb 18 0357	DSO	D00719	GSFC	US	APL	NEAR	Leros 1	     805 	 	    468 	 	     805 	 	   2.8 	 	  1.5 	 	    5.0 	?	Box + 4 Pan	1996 Feb 17	     184	 	  -43602	 	 28.50 	 	EEO	-	-
23800	S23801	23801	1996-012A	PH H-S      	Columbia (STS-75)	OV-102	1996-02-22	A05746	1996 Feb 22 2026	Earth	1996 Mar  9 1358	L	KSC RW33	JSC	US	RWI	STS OV	-	  101995 	 	  93391 	 	  113501 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 Feb 29	     289	 	     296	 	 28.46 	 	LLEO/I	-	-
23801	S23802	23802	1996-013A	P           	Polar	Polar	1996-02-24	S23804	1996 Feb 24 1206	Earth	-	O	-	GSFC	US	RCA	Wind	MR-50 x 4	    1274 	 	   1005 	 	    1274 	 	   2.1 	 	  2.4 	 	  130.0 	 	Cyl + Ant	1996 Mar 25	    5157	 	   50591	 	 85.93 	 	HEO	-	NAIF013
23830	S23831	23831	1996-018A	PH H-S      	Atlantis (STS-76)	OV-104	1996-03-22	A05761	1996 Mar 22 0821	Earth	1996 Mar 24 0234	DK	A05709	JSC	US	RWI	STS OV	-	   99867 	 	  89497 	 	  108196 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 Mar 24	     389	 	     395	 	 51.65 	 	LLEO/I	-	-
23869	S23870	23870	1996-032A	PH H-S      	Endeavour (STS-77)	OV-105	1996-05-19	A05789	1996 May 19 1038	Earth	1996 May 29 1109	L	KSC RW33	JSC	US	RWI	STS OV	-	   98107 	 	  88845 	 	  110594 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 May 21	     278	 	     289	 	 39.02 	 	LLEO/I	-	-
23870	S23871	23871	1996-032B	P ---S-     	Spartan 207	Spartan 207	1996-05-19	A05792	1996 May 20 1030?	Earth	1996 May 20 1030?	ATT	A05795	JPL	US	GSFC	SPTN-200	-	     846 	 	    846 	 	     846 	 	   2.3 	 	  1.0 	 	    2.3 	 	Box + Cyl	1996 May 21	     281	 	     294	 	 39.02 	 	LLEO/I	-	-
23871	S23872	23872	1996-032C	P ---S-     	IAE	Inflatable Antenna Expt.	1996-05-19	S23871	1996 May 20 1513	Earth	1996 May 22	R	-	JPL	US	JPL/LGAR	IAE	-	     460 	 	    460 	 	     460 	 	   2.0 	?	 14.0 	 	   30.0 	 	Dish + Truss	1996 May 21	     277	 	     295	 	 38.99 	 	LLEO/I	-	-
23875	S23876	23876	1996-032D	P ---S-     	PAMS	PAMS	1996-05-19	A05793	1996 May 22 0918	Earth	1996 Oct 26	R	-	GSFC	US	GSFC?	STU	-	      49 	 	     49 	 	      49 	 	   0.5 	 	  0.3 	 	    0.5 	 	Cyl	1996 Jun 18	     274	 	     281	 	 39.02 	 	LLEO/I	-	-
23930	S23931	23931	1996-036A	PH H-S      	Columbia (STS-78)	OV-102	1996-06-20	A05800	1996 Jun 20 1457	Earth	1996 Jul  7 1236	L	KSC RW33	JSC	US	RWI	STS OV	-	   98287 	 	  92286 	 	  111458 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 Jun 27	     264	 	     274	 	 39.01 	 	LLEO/I	-	-
23939	S23940	23940	1996-037A	P           	Earth Probe TOMS	TOMS-EP	1996-07-02	S23941	1996 Jul  2 0756	Earth	-	O	-	GSFC	US	TRWC/CTA	LEOStar T-200	-	     295 	 	    222 	 	     295 	 	   1.8 	 	  1.1 	 	    3.9 	 	Hex Cyl + Pan	1996 Aug  1	     493	 	     511	 	 97.44 	 	LLEO/S	-	-
24284	S24285	24285	1996-049A	P           	FAST	FAST	1996-08-21	S24286	1996 Aug 21 0955?	Earth	-	O	LEO	GSFC	US	GSFC	SMEX	-	     162 	 	    162 	 	     162 	 	   0.9 	 	  1.2 	 	   60.0 	 	Cyl + 2 Ant	1996 Sep 20	     351	 	    4164	 	 83.00 	 	MEO	-	-
24323	S24324	24324	1996-057A	PH H-S      	Atlantis (STS-79)	OV-104	1996-09-16	A05815	1996 Sep 16 0903	Earth	1996 Sep 19 0313	DK	A05709	JSC	US	RWI	STS OV	-	  100232 	 	  89820 	 	  109668 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 Sep 18	     251	 	     298	 	 51.65 	 	LLEO/I	-	-
24644	S24645	24645	1996-061A	P F         	HETE	HETE	1996-11-04	A05828	1996 Nov  4 1717?	Earth	2002 Apr  7 0355?	AR	31N 92E?	GSFC	US	AEROA	HETE	-	     114 	 	    114 	 	     650 	 	   0.9 	 	  0.5 	 	    0.9 	 	Box	1996 Dec  4	     488	 	     554	 	 37.98 	 	LLEO/I	-	-
24647	S24648	24648	1996-062A	P   D       	Mars Global Surveyor	MGS	1996-11-07	S24650	1996 Nov  7 1751	Earth	1996 Nov  8 0246	DSO	D00723	JPL	US	LMA	MGS	Leros 1B	    1062 	 	    674 	 	    1062 	 	   3.0 	 	  1.5 	 	   12.0 	 	Box + Pan	1996 Nov  7	     184	 	  -97283	 	 28.46 	 	EEO	-	-
24659	S24660	24660	1996-065A	PH H-S      	Columbia (STS-80)	OV-102	1996-11-19	A05843	1996 Nov 19 2004	Earth	1996 Dec  7 1149	L	KSC RW33	JSC	US	RWI	STS OV	-	   99716 	 	  90167 	 	  112818 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1996 Nov 26	     346	 	     358	 	 28.47 	 	LLEO/I	-	-
24666	S24667	24667	1996-068A	P   D       	Sagan Memorial Station	MPF Lander	1996-12-04	A05862	1996 Dec  4 0806	Earth	1996 Dec  4 1710	DSA	D00727	JPL	US	JPL	MPF	-	     398 	 	    350 	 	     880 	 	   0.5 	 	  1.4 	 	    5.3 	?	Irr + Inf Sphere	1996 Dec  4	     184	 	  -93761	 	 28.78 	 	EEO	-	Mars Pathfinder
24710	S24711	24711	1997-001A	PH H-S      	Atlantis (STS-81)	OV-104	1997-01-12	A05878	1997 Jan 12 0935	Earth	1997 Jan 15 0355	DK	A05709	JSC	US	BNAP	STS OV	-	  102695 	 	  91759 	 	  109850 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Jan 14	     253	 	     297	 	 51.65 	 	LLEO/I	-	-
24718	S24719	24719	1997-004A	PH H-S      	Discovery (STS-82)	OV-103	1997-02-11	A05892	1997 Feb 11 0903	Earth	1997 Feb 21 0832	L	KSC RW15	JSC	US	BNAP	STS OV	-	   98525 	 	  87018 	 	  108673 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Feb 13	     589	 	     593	 	 28.47 	 	LLEO/I	-	-
24754	S24755	24755	1997-013A	PH H-S      	Columbia (STS-83)	OV-102	1997-04-04	A05902	1997 Apr  4 1929	Earth	1997 Apr  8 1833	L	KSC RW33	JSC	US	BNAP	STS OV	-	   98640 	 	  94277 	 	  112729 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Apr  6	     298	 	     303	 	 28.47 	 	LLEO/I	-	-
24803	S24804	24804	1997-023A	PH H-S      	Atlantis (STS-84)	OV-104	1997-05-15	A05916	1997 May 15 0816	Earth	1997 May 17 0233	DK	A05709	JSC	US	BNAP	STS OV	-	  100862 	 	  90202 	 	  109691 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 May 17	     382	 	     396	 	 51.65 	 	LLEO/I	-	-
24848	S24849	24849	1997-032A	PH H-S      	Columbia (STS-94)	OV-102	1997-07-01	A05936	1997 Jul  1 1810	Earth	1997 Jul 17 1046	L	KSC RW33	JSC	US	BNAP	STS OV	-	   98836 	 	  92168 	 	  112925 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Jul  8	     298	 	     303	 	 28.47 	 	LLEO/I	-	-
24888	S24889	24889	1997-039A	PH H-S      	Discovery (STS-85)	OV-103	1997-08-07	A05963	1997 Aug  7 1449	Earth	1997 Aug 19 1108	L	KSC RW33	JSC	US	BNAP	STS OV	-	   95995 	 	  88403 	 	  108019 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Aug  9	     289	 	     300	 	 56.99 	 	LLEO/I	-	-
24911	S24912	24912	1997-045A	P   D       	ACE	Advanced Composition Expl.	1997-08-25	S24913	1997 Aug 25 1553	Earth	1997 Aug 26 0516	DSO	D00735	GSFC	US	APL	AMPTE-CCE	-	     785 	 	    596 	 	     785 	 	   2.5 	 	  1.6 	 	    8.3 	 	Oct Cyl + 4 Pan + 2 Ant	1997 Aug 25	     177	 	 1281969	 	 28.70 	 	CLO	-	-
24963	S24964	24964	1997-055A	PH H-S      	Atlantis (STS-86)	OV-104	1997-09-26	A05980	1997 Sep 26 0242	Earth	1997 Sep 27 1957	DK	A05709	JSC	US	BNAP	STS OV	-	  100467 	 	  90511 	 	  109666 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Sep 28	     384	 	     389	 	 51.65 	 	LLEO/I	-	-
25007	S25008	25008	1997-061A	P   D       	Cassini	Cassini	1997-10-15	S25009	1997 Oct 15 0926	Earth	1997 Oct 15 1707	DSO	D00738	JPL	US	JPL	Cassini	R-4D-12 x2	    5254 	 	   2125 	 	    5254 	 	   6.7 	 	  4.0 	 	   15.0 	?	Cyl + Dish + 2 Ant	1997 Oct 15	     267	 	  -60927	 	 28.63 	 	EEO	-	-
25060	S25061	25061	1997-073A	PH H-S      	Columbia (STS-87)	OV-102	1997-11-19	A06010	1997 Nov 19 1954	Earth	1997 Dec  5 1220	L	KSC RW33	JSC	US	BNAP	STS OV	-	  103711 	 	  97198 	 	  113712 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1997 Nov 26	     276	 	     282	 	 28.47 	 	LLEO/I	-	-
25061	S25062	25062	1997-073B	P ---S-     	Spartan 201	Spartan 201	1997-11-19	A06017	1997 Nov 21 2018	Earth	1997 Nov 21 2018	ATT	A06025	GSFC	US	GSFC	SPTN-200	-	    1350 	 	   1350 	 	    1350 	 	   2.3 	 	  1.0 	 	    2.3 	 	Box + Cyl	1997 Nov 24	     277	 	     283	 	 28.47 	 	LLEO/I	-	-
25062	S25063	25063	1997-074A	P           	TRMM	TRMM	1997-11-27	S25065	1997 Nov 27 2141	Earth	2015 Jun 16 0355	R	87E 19S	GSFC	US	GSFC	TRMM	-	    3950 	 	   3060 	 	    3950 	 	   5.0 	 	  3.0 	?	   14.5 	 	Irr + 2 Pan	1997 Dec 27	     345	 	     347	 	 34.99 	 	LLEO/I	-	NAIF107
25130	S25131	25131	1998-001A	P   D       	Lunar Prospector	LP	1998-01-07	A06033	1998 Jan  7 0325	Earth	1998 Jan  7 1840	DSO	D00747	ARC	US	LMMS	LM100	-	     296 	 	    158 	 	     296 	 	   1.2 	 	  1.4 	 	    4.0 	?	Cyl + 2 Ant	1998 Jan  7	     197	 	  353645	 	 29.20 	 	CLO	-	-
25142	S25143	25143	1998-003A	PH H-S      	Endeavour (STS-89)	OV-105	1998-01-23	A06036	1998 Jan 23 0256	Earth	1998 Jan 24 2014	DK	A05709	JSC	US	BNAP	STS OV	-	   94864 	 	  90110 	 	  108673 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1998 Jan 25	     377	 	     387	 	 51.66 	 	LLEO/I	-	-
25232	S25233	25233	1998-012A	P           	SNOE	SNOE	1998-02-26	S25235	1998 Feb 26 0717?	Earth	2003 Dec 13	R	-	GSFC	US	UCO	SNOE	-	     120 	 	    120 	 	     120 	 	   0.9 	 	  1.0 	 	    1.0 	 	Hex Cyl	1998 Mar 31	     535	 	     579	 	 97.75 	 	LLEO/S	-	-
25279	S25280	25280	1998-020A	P           	TRACE	TRACE	1998-04-02	S25281	1998 Apr  2 0252	Earth	-	O	-	GSFC	US	GSFC	SMEX	-	     250 	 	    250 	 	     250 	 	   1.6 	?	  0.5 	?	    2.5 	?	Box + Cyl + 2 Pan	1998 May  2	     597	 	     642	 	 97.80 	 	LEO/S	-	-
25296	S25297	25297	1998-022A	PH H-S      	Columbia (STS-90)	OV-102	1998-04-17	A06069	1998 Apr 17 1827	Earth	1998 May  3 1609	L	KSC RW33	JSC	US	BNAP	STS OV	-	   97669 	 	  92457 	 	  112470 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1998 Apr 24	     252	 	     281	 	 39.00 	 	LLEO/I	-	-
25355	S25356	25356	1998-034A	PH H-S      	Discovery (STS-91)	OV-103	1998-06-02	A06098	1998 Jun  2 2214	Earth	1998 Jun  4 1658	DK	A05709	JSC	US	BNAP	STS OV	-	   98948 	 	  89122 	 	  113208 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1998 Jun  4	     342	 	     373	 	 51.66 	 	LLEO/I	-	-
25507	S25508	25508	1998-061A	P   D       	Deep Space 1	Deep Space 1	1998-10-24	S25511	1998 Oct 24 1301	Earth	1998 Oct 25 0015	DSO	D00753	JPL	US	SPA	SA-200HP	-	     475 	 	    374 	 	     475 	 	   2.1 	 	  1.7 	 	   11.5 	 	Hex Cyl + 2 Pan	1998 Oct 24	     185	 	 -267640	 	 28.50 	 	EEO	-	-
25518	S25519	25519	1998-064A	PH H-S      	Discovery (STS-95)	OV-103	1998-10-29	A06119	1998 Oct 29 1928	Earth	1998 Nov  7 1703	L	KSC RW33	JSC	US	BNAP	STS OV	-	   97087 	 	  88284 	 	  112467 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1998 Oct 31	     550	 	     560	 	 28.47 	 	LLEO/I	-	-
25520	S25521	25521	1998-064C	P ---S-     	Spartan 201	Spartan 201	1998-10-29	A06124	1998 Nov  1 1803	Earth	1998 Nov  1 1803	ATT	A06129	GSFC	US	GSFC	SPTN-200	-	    1350 	 	   1350 	 	    1350 	 	   2.3 	 	  1.0 	 	    2.3 	 	Box + Cyl	1998 Nov  2	     549	 	     560	 	 28.47 	 	LLEO/I	-	-
25543	S25544	25544	1998-067A	PPTH-MU     	Zarya	77KM  No. 175-01	1998-11-20	S25545	1998 Nov 20 0649	Earth	1998 Dec  6 2347	GRP	A06147	JSC	US	KHRR	77KS	-	   20351 	 	  19000 	?	   20351 	 	  12.6 	 	  4.2 	?	   23.9 	 	Cyl + 2 Pan	1998 Dec 20	     393	 	     399	 	 51.59 	 	LLEO/I	-	ISS FGB
25548	S25549	25549	1998-069A	PH H-V      	Endeavour (STS-88)	OV-105	1998-12-04	A06160	1998 Dec  4 0843	Earth	1998 Dec  5 2352	DK	A06140	JSC	US	BNAP	STS OV	-	   97483 	 	  90962 	 	  114004 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1998 Dec  6	     211	 	     385	 	 51.60 	 	LLEO/I	-	-
25559	S25560	25560	1998-071A	P           	SWAS	SWAS	1998-12-06	S25561	1998 Dec  6 0109	Earth	-	O	-	GSFC	US	GSFC	SMEX	-	     282 	 	    282 	 	     282 	 	   1.7 	 	  1.0 	 	    2.0 	?	Cyl+2 Pan	1999 Jan  7	     638	 	     650	 	 69.90 	 	LEO/I	-	-
25570	S25571	25571	1998-073A	P   D       	Mars Climate Orbiter	MCO	1998-12-11	S25573	1998 Dec 11 1932	Earth	1998 Dec 12 0418	DSO	D00757	JPL	US	LMA/DENV	Mars Surveyor	Leros 1B/X	     629 	 	    338 	 	     629 	 	   2.1 	 	  1.6 	 	    5.5 	 	Box + 2 Pan	1998 Dec 11	     187	 	  -86038	 	 28.31 	 	EEO	-	NAIF127
25574	S25575	25575	1998-069F	PP H-MU     	Unity	ISS Node 1	1998-12-04	S25549  8-11 	1998 Dec  5 2208	Earth	1998 Dec  5 2208	ATT	A06147	JSC	US	BOHSV	ISS Node	-	    9280 	 	   9280 	 	   11600 	 	   5.2 	 	  4.4 	 	    5.2 	 	Cyl	1998 Dec 10	     387	 	     400	 	 51.59 	 	LLEO/I	-	-
25604	S25605	25605	1999-001A	P   D       	Mars Polar Lander	MPL	1999-01-03	A06163	1999 Jan  3 2103	Earth	1999 Jan  4 0543	DSA	D00761	JPL	US	LMA/DENV	Mars Surveyor	-	     354 	 	    290 	 	     575 	 	   1.0 	 	  3.6 	 	    3.6 	 	Box + Cone	1999 Jan  3	     185	 	  -84447	 	 28.43 	 	EEO	-	-
25617	S25618	25618	1999-003A	P   D       	Stardust	Stardust	1999-02-07	S25620	1999 Feb  7 2131	Earth	1999 Feb  8 0416	DSO	D00770	JPL	US	LMA/DENV	Space Probe	AOCS 8x4N	     339 	 	    254 	 	     339 	 	   1.7 	 	  0.6 	 	    4.8 	 	Box + 2 Pan	1999 Feb  7	     224	 	  -43632	 	 28.49 	 	EEO	-	-
25645	S25646	25646	1999-011A	P           	WIRE	WIRE	1999-03-05	S25647	1999 Mar  5 0309	Earth	2011 May 10	R	-	GSFC	US	GSFC	SMEX	-	     182 	 	    182 	 	     187 	 	   1.7 	?	  0.6 	?	    1.8 	?	Cyl + 2 Pan	1999 Apr  4	     539	 	     592	 	 97.53 	 	LLEO/S	-	-
25734	S25735	25735	1999-026A	P           	TERRIERS	TERRIERS	1999-05-18	S25739	1999 May 18 0520	Earth	-	O	LEO	GSFC	US	AEROA	HETE	-	     125 	 	    125 	 	     125 	 	   1.0 	 	  0.5 	 	    1.1 	 	Box	1999 Jun 17	     540	 	     554	 	 97.72 	 	LLEO/S	-	-
25759	S25760	25760	1999-030A	PH H-V      	Discovery (STS-96)	OV-103	1999-05-27	A06177	1999 May 27 1058	Earth	1999 May 29 0424	DK	A06140	JSC	US	BNAP	STS OV	-	  102163 	 	  89903 	 	  115329 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1999 May 29	     380	 	     385	 	 51.59 	 	LLEO/I	-	-
25768	S25769	25769	1999-030B	P ---S-     	Starshine	Starshine	1999-05-27	A06191	1999 May 27	Earth	2000 Feb 18	R	-	GSFC	US	NRL	Starshine	-	      40 	 	     40 	 	      40 	 	   0.5 	 	  0.5 	 	    0.5 	 	Sphere	1999 Jun 26	     375	 	     393	 	 51.59 	 	LLEO/I	-	-
25788	S25789	25789	1999-034A	P           	QuikScat	QuikScat	1999-06-20	S25790	1999 Jun 20 0313	Earth	-	O	-	GSFC	US	BALL	BCP-2000	AOCS 4x4N	     970 	 	    870 	 	     970 	 	   2.2 	 	  1.7 	 	    3.8 	 	Box + 2 Pan	1999 Jul 20	     804	 	     807	 	 98.62 	 	LEO/S	-	-
25790	S25791	25791	1999-035A	P           	FUSE	Far UV Spec. Explorer	1999-06-24	S25792	1999 Jun 24 1700	Earth	-	O	-	GSFC	US	OSCG	FUSE	-	    1130 	 	   1130 	 	    1130 	 	   5.5 	 	  1.2 	 	    6.0 	 	Box + 2 Pan	1999 Jul 24	     753	 	     770	 	 24.98 	 	LEO/E	-	-
25865	S25866	25866	1999-040A	PH H-S      	Columbia (STS-93)	OV-102	1999-07-23	A06201	1999 Jul 23 0440	Earth	1999 Jul 28 0320	L	KSC RW33	JSC	US	BNAP	STS OV	SSME	   95205 	 	  89293 	 	  117440 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1999 Jul 25	     272	 	     297	 	 28.47 	 	LLEO/I	-	-
25866	S25867	25867	1999-040B	P ---S-     	Chandra X-ray Observatory	AXAF	1999-07-23	S25869	1999 Jul 23 1349	Earth	-	O	-	MSFC	US	TRW	AXAF	TR-308 x4	    5677 	 	   4653 	 	    5677 	 	  14.0 	 	  4.3 	 	   19.5 	 	Cyl + 2 Pan	1999 Aug 27	    9999	 	  138826	 	 28.56 	 	VHEO	-	NAIF151, CXO
25993	S25994	25994	1999-068A	P           	Terra	EOS AM-1	1999-12-18	S25995	1999 Dec 18 1911	Earth	-	O	-	GSFC	US	LMVF	EOS	AOCS	    5190 	 	   4854 	 	    5190 	 	   6.8 	 	  3.5 	 	   10.0 	 	Box + Pan	2000 Jan 17	     655	 	     686	 	 98.24 	 	LEO/S	-	NAIF142
